cps19_religion,cps19_province,cps19_yob,cps19_employment,cps19_gender,cps19_education,cps19_imm,cps19_bornin_canada,cps19_econ_retro,cps19_own_fin_retro,pes19_votechoice2019,pes19_nativism1,pes19_nativism5,pes19_immigjobs,age,attitude,cpes19_immigjobs,cpes19_nativism1,cpes19_nativism5
Protestant,Ontario,49,Working for pay full-time,Male,Master degree,Fewer immigrants,Immigrant,Got worse,3,Conservative,Strongly agree,Strongly agree,Somewhat disagree,51,1.0,2.0,5.0,5.0
Atheist,Alberta,47,Working for pay full-time,Other,Master degree,About the same number of immigrants as now,Canadian,Got worse,3,Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,53,2.0,2.0,4.0,2.0
Protestant,British Columbia,29,Self employed,Female,Some university,Fewer immigrants,Canadian,Got worse,1,Conservative,Strongly agree,Neither agree nor disagree,Strongly disagree,71,1.0,1.0,5.0,3.0
Catholic,Ontario,46,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Somewhat agree,Strongly agree,54,1.0,5.0,5.0,4.0
United Church of Canada,Ontario,41,Retired,Male,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Strongly agree,Neither agree nor disagree,Somewhat disagree,59,2.0,2.0,5.0,3.0
Catholic,British Columbia,54,Working for pay part-time,Female,Master degree,About the same number of immigrants as now,Immigrant,Stayed about the same,2,Liberal,Somewhat disagree,Somewhat disagree,Strongly disagree,46,2.0,1.0,2.0,2.0
Atheist,Ontario,36,Retired,Female,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Neither agree nor disagree,Somewhat disagree,64,1.0,2.0,4.0,3.0
Anglican,British Columbia,28,Retired,Female,Completed technical,About the same number of immigrants as now,Immigrant,Got worse,2,NDP,Neither agree nor disagree,Strongly disagree,Somewhat disagree,72,2.0,2.0,3.0,1.0
Lutheran,Manitoba,29,Retired,Female,Bachelor degree,More immigrants,Canadian,Got better,1,Liberal,Somewhat agree,Somewhat disagree,Strongly disagree,71,3.0,1.0,4.0,2.0
Catholic,Quebec,32,Retired,Male,Some technical,Fewer immigrants,Canadian,Got worse,3,Bloc Québécois,Strongly agree,Strongly agree,Strongly agree,68,1.0,5.0,5.0,5.0
Catholic,Alberta,44,Retired,Female,Completed technical,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Strongly disagree,Somewhat agree,56,1.0,4.0,4.0,1.0
Catholic,Quebec,44,Disabled,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,2,Bloc Québécois,Strongly agree,Strongly agree,Neither agree nor disagree,56,1.0,3.0,5.0,5.0
Atheist,British Columbia,65,Working for pay full-time,Female,Master degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,35,2.0,3.0,4.0,3.0
Atheist,Alberta,45,Unemployed/ looking for work,Male,Some technical,Fewer immigrants,Canadian,Got worse,3,Conservative,Somewhat agree,Somewhat agree,Neither agree nor disagree,55,1.0,3.0,4.0,4.0
Protestant,British Columbia,31,Retired,Other,Some university,About the same number of immigrants as now,Immigrant,Stayed about the same,2,NDP,Somewhat agree,Somewhat disagree,Somewhat disagree,69,2.0,2.0,4.0,2.0
Atheist,Alberta,45,Working for pay full-time,Male,Some university,More immigrants,Immigrant,Got better,2,Liberal,Strongly agree,Somewhat agree,Strongly disagree,55,3.0,1.0,5.0,4.0
Atheist,Alberta,35,Retired,Male,Completed technical,About the same number of immigrants as now,Canadian,Got worse,2,Green Party,Strongly agree,Strongly agree,Strongly disagree,65,2.0,1.0,5.0,5.0
Protestant,Alberta,47,Working for pay full-time,Female,Master degree,Fewer immigrants,Immigrant,Got worse,3,People Party,Strongly agree,Strongly agree,Neither agree nor disagree,53,1.0,3.0,5.0,5.0
Atheist,Quebec,54,Working for pay full-time,Male,Completed technical,More immigrants,Canadian,Got worse,1,Conservative,Strongly agree,Strongly agree,Strongly disagree,46,3.0,1.0,5.0,5.0
Atheist,Ontario,37,Retired,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Strongly disagree,Strongly disagree,63,2.0,1.0,4.0,1.0
Protestant,Ontario,48,Working for pay full-time,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Neither agree nor disagree,Strongly agree,52,1.0,5.0,5.0,3.0
Catholic,Quebec,62,Working for pay full-time,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,2,Liberal,Strongly agree,Strongly agree,Neither agree nor disagree,38,1.0,3.0,5.0,5.0
Baptist,Alberta,43,Retired,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,3,Conservative,Neither agree nor disagree,Strongly agree,Somewhat agree,57,1.0,4.0,3.0,5.0
Pentecostal/ Fundamentalist/ Born Again/ Evangelical,Ontario,66,Working for pay full-time,Female,Bachelor degree,Fewer immigrants,Canadian,Got worse,2,People Party,Strongly agree,Strongly agree,Strongly disagree,34,1.0,1.0,5.0,5.0
Atheist,Ontario,33,Retired,Female,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Stayed about the same,3,Liberal,Somewhat agree,Neither agree nor disagree,Strongly disagree,67,2.0,1.0,4.0,3.0
United Church of Canada,Ontario,31,Retired,Female,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Green Party,Strongly agree,Somewhat agree,Somewhat disagree,69,2.0,2.0,5.0,4.0
Baptist,Ontario,73,Working for pay full-time,Female,Bachelor degree,More immigrants,Canadian,Stayed about the same,3,Green Party,Somewhat disagree,Somewhat disagree,Strongly disagree,27,3.0,1.0,2.0,2.0
Atheist,Newfoundland,63,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat disagree,Strongly disagree,Strongly disagree,37,2.0,1.0,2.0,1.0
United Church of Canada,Ontario,28,Retired,Male,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,72,1.0,2.0,3.0,2.0
United Church of Canada,British Columbia,39,Retired,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,1,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,61,2.0,1.0,4.0,1.0
United Church of Canada,Prince Edward,23,Retired,Female,Professional degree or doctorate,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Strongly disagree,77,2.0,1.0,4.0,2.0
Catholic,Ontario,35,Working for pay full-time,Male,Bachelor degree,More immigrants,Immigrant,Stayed about the same,1,Conservative,Strongly agree,Strongly disagree,Strongly disagree,65,3.0,1.0,5.0,1.0
Presbyterian,Ontario,31,Retired,Male,Professional degree or doctorate,Fewer immigrants,Canadian,Got worse,2,Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,69,1.0,2.0,4.0,2.0
United Church of Canada,Ontario,20,Retired,Female,Bachelor degree,More immigrants,Canadian,Got better,1,Liberal,Somewhat disagree,Somewhat disagree,Somewhat disagree,80,3.0,2.0,2.0,2.0
United Church of Canada,Alberta,38,Retired and working for pay,Female,Bachelor degree,Fewer immigrants,Canadian,Got worse,3,Conservative,Somewhat agree,Neither agree nor disagree,Somewhat agree,62,1.0,4.0,4.0,3.0
Lutheran,British Columbia,28,Retired,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Strongly agree,Neither agree nor disagree,Somewhat agree,72,2.0,4.0,5.0,3.0
United Church of Canada,British Columbia,24,Retired,Female,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Stayed about the same,3,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,76,2.0,1.0,4.0,1.0
Atheist,Nova Scotia,35,Working for pay full-time,Male,Completed technical,About the same number of immigrants as now,Immigrant,Got worse,3,NDP,Somewhat disagree,Strongly disagree,Strongly disagree,65,2.0,1.0,2.0,1.0
Catholic,Ontario,64,Working for pay full-time,Male,Professional degree or doctorate,More immigrants,Canadian,Got better,2,Liberal,Neither agree nor disagree,Strongly agree,Somewhat agree,36,3.0,4.0,3.0,5.0
Jewish,Ontario,25,Retired,Male,Professional degree or doctorate,About the same number of immigrants as now,Canadian,Stayed about the same,3,NDP,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,75,2.0,3.0,4.0,3.0
Presbyterian,Ontario,32,Retired,Male,Completed secondary/ high school,Fewer immigrants,Immigrant,Got worse,3,Not voted,Somewhat agree,Somewhat disagree,Neither agree nor disagree,68,1.0,3.0,4.0,2.0
Anglican,British Columbia,30,Retired,Female,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,70,2.0,2.0,3.0,2.0
Presbyterian,Alberta,42,Working for pay full-time,Female,Bachelor degree,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Somewhat disagree,Somewhat agree,58,1.0,4.0,5.0,2.0
Atheist,Ontario,35,Retired,Male,Some technical,More immigrants,Canadian,Got better,1,Liberal,Somewhat disagree,Strongly disagree,Strongly disagree,65,3.0,1.0,2.0,1.0
Catholic,Ontario,31,Retired,Male,Some technical,About the same number of immigrants as now,Canadian,Got better,2,NDP,Somewhat agree,Strongly disagree,Strongly disagree,69,2.0,1.0,4.0,1.0
Atheist,Ontario,74,Unemployed/ looking for work,Female,Completed technical,Fewer immigrants,Canadian,Got worse,1,NDP,Somewhat agree,Neither agree nor disagree,Somewhat agree,26,1.0,4.0,4.0,3.0
Catholic,Ontario,29,Retired,Male,Completed technical,Fewer immigrants,Canadian,Got worse,2,Conservative,Strongly agree,Strongly agree,Somewhat agree,71,1.0,4.0,5.0,5.0
Agnostic,Saskatchewan,35,Working for pay part-time,Male,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Got worse,2,Conservative,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,65,2.0,2.0,3.0,3.0
Catholic,New Brunswick,60,Working for pay full-time,Female,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,2,Green Party,Somewhat agree,Somewhat disagree,Somewhat agree,40,1.0,4.0,4.0,2.0
Protestant,New Brunswick,50,Working for pay full-time,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,3,Green Party,Strongly agree,Somewhat disagree,Somewhat disagree,50,1.0,2.0,5.0,2.0
Catholic,British Columbia,24,Retired,Female,Some university,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Somewhat disagree,Strongly disagree,Strongly disagree,76,2.0,1.0,2.0,1.0
Protestant,Ontario,31,Retired,Male,Bachelor degree,Fewer immigrants,Canadian,Got worse,2,Conservative,Strongly agree,Strongly disagree,Somewhat disagree,69,1.0,2.0,5.0,1.0
Catholic,Ontario,30,Working for pay full-time,Male,Some technical,Fewer immigrants,Immigrant,Got worse,3,Conservative,Somewhat disagree,Somewhat disagree,Somewhat disagree,70,1.0,2.0,2.0,2.0
United Church of Canada,Alberta,22,Retired,Male,Bachelor degree,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Neither agree nor disagree,Somewhat agree,78,1.0,4.0,5.0,3.0
Orthodox,Ontario,32,Retired,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Got worse,2,Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,68,2.0,2.0,4.0,2.0
Anglican,Ontario,37,Retired,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Conservative,Strongly agree,Strongly disagree,Somewhat disagree,63,2.0,2.0,5.0,1.0
Atheist,Ontario,65,Working for pay full-time,Male,Master degree,About the same number of immigrants as now,Immigrant,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Strongly disagree,35,2.0,1.0,4.0,2.0
Catholic,New Brunswick,61,Working for pay full-time,Female,Completed technical,Fewer immigrants,Canadian,Got worse,1,Conservative,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,39,1.0,3.0,2.0,2.0
Atheist,Ontario,52,Working for pay full-time,Male,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Strongly agree,Somewhat agree,48,1.0,4.0,5.0,5.0
Lutheran,British Columbia,41,Working for pay full-time,Male,Completed secondary/ high school,More immigrants,Canadian,Got better,2,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,59,3.0,1.0,4.0,1.0
Anglican,Ontario,39,Retired,Female,Completed technical,About the same number of immigrants as now,Canadian,Got worse,3,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,61,2.0,1.0,4.0,1.0
Anglican,Ontario,34,Working for pay full-time,Male,Completed technical,Fewer immigrants,Canadian,Stayed about the same,1,People Party,Somewhat agree,Somewhat agree,Somewhat disagree,66,1.0,2.0,4.0,4.0
Atheist,Alberta,58,Working for pay full-time,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,3,Conservative,Neither agree nor disagree,Somewhat disagree,Somewhat agree,42,1.0,4.0,3.0,2.0
Hindu,British Columbia,32,Self employed,Male,Completed technical,Fewer immigrants,Immigrant,Stayed about the same,3,Conservative,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,68,1.0,3.0,3.0,3.0
Catholic,Ontario,31,Retired,Male,Some technical,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Neither agree nor disagree,Somewhat agree,69,1.0,4.0,5.0,3.0
United Church of Canada,British Columbia,29,Retired,Male,Master degree,More immigrants,Canadian,Got better,2,NDP,Strongly disagree,Strongly disagree,Strongly disagree,71,3.0,1.0,1.0,1.0
Atheist,Ontario,57,Other,Male,Some technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Strongly disagree,Strongly disagree,Strongly disagree,43,2.0,1.0,1.0,1.0
Catholic,Alberta,27,Working for pay part-time,Male,Professional degree or doctorate,About the same number of immigrants as now,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Strongly disagree,Strongly disagree,73,2.0,1.0,4.0,1.0
Catholic,Ontario,47,Working for pay full-time,Male,Master degree,Fewer immigrants,Immigrant,Stayed about the same,2,NDP,Somewhat agree,Somewhat agree,Neither agree nor disagree,53,1.0,3.0,4.0,4.0
Catholic,Nova Scotia,35,Retired,Female,Master degree,More immigrants,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,65,3.0,2.0,4.0,2.0
United Church of Canada,Alberta,19,Retired,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Got worse,2,NDP,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,81,2.0,3.0,4.0,3.0
Catholic,Ontario,34,Retired,Male,Completed secondary/ high school,Fewer immigrants,Canadian,Stayed about the same,2,Liberal,Strongly agree,Somewhat disagree,Somewhat agree,66,1.0,4.0,5.0,2.0
Atheist,Alberta,50,Working for pay full-time,Female,Completed technical,Fewer immigrants,Immigrant,Got worse,2,NDP,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,50,1.0,1.0,3.0,3.0
Protestant,Ontario,38,Self employed,Male,Some technical,Fewer immigrants,Canadian,Stayed about the same,3,NDP,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,62,1.0,3.0,4.0,3.0
Catholic,Ontario,79,Student,Female,Some university,More immigrants,Canadian,Got worse,3,NDP,Somewhat disagree,Somewhat disagree,Strongly disagree,21,3.0,1.0,2.0,2.0
United Church of Canada,Alberta,35,Retired,Male,Bachelor degree,More immigrants,Canadian,Stayed about the same,1,Conservative,Somewhat agree,Strongly disagree,Strongly disagree,65,3.0,1.0,4.0,1.0
Orthodox,Ontario,47,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Immigrant,Stayed about the same,2,Conservative,Strongly agree,Somewhat agree,Neither agree nor disagree,53,2.0,3.0,5.0,4.0
Catholic,Quebec,32,Retired,Female,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Got worse,2,Bloc Québécois,Strongly agree,Neither agree nor disagree,Strongly disagree,68,2.0,1.0,5.0,3.0
Atheist,British Columbia,55,Working for pay full-time,Female,Bachelor degree,More immigrants,Canadian,Stayed about the same,2,NDP,Somewhat agree,Strongly disagree,Strongly disagree,45,3.0,1.0,4.0,1.0
Catholic,Quebec,37,Retired,Male,Some technical,About the same number of immigrants as now,Canadian,Got worse,3,Liberal,Neither agree nor disagree,Strongly disagree,Somewhat disagree,63,2.0,2.0,3.0,1.0
Jewish,Manitoba,72,Working for pay part-time,Male,Some university,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Neither agree nor disagree,Strongly disagree,Strongly disagree,28,2.0,1.0,3.0,1.0
Lutheran,Alberta,74,Working for pay full-time,Female,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,3,Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,26,1.0,2.0,4.0,2.0
Baptist,British Columbia,64,Working for pay full-time,Male,Completed technical,About the same number of immigrants as now,Immigrant,Stayed about the same,2,Liberal,Somewhat disagree,Strongly disagree,Strongly disagree,36,2.0,1.0,2.0,1.0
Atheist,Quebec,81,Student,Female,Some technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat disagree,Strongly disagree,Strongly disagree,19,2.0,1.0,2.0,1.0
Atheist,Ontario,70,Working for pay full-time,Male,Completed technical,Fewer immigrants,Canadian,Got worse,3,Conservative,Neither agree nor disagree,Strongly agree,Strongly agree,30,1.0,5.0,3.0,5.0
Baptist,Ontario,30,Retired,Male,Some university,Fewer immigrants,Canadian,Got worse,2,Conservative,Strongly agree,Neither agree nor disagree,Somewhat agree,70,1.0,4.0,5.0,3.0
Christian Reformed,Nova Scotia,42,Working for pay full-time,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,58,1.0,3.0,4.0,3.0
United Church of Canada,Ontario,35,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,3,Liberal,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,65,2.0,2.0,3.0,2.0
Atheist,New Brunswick,57,Working for pay full-time,Male,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Somewhat agree,Somewhat agree,Somewhat agree,43,2.0,4.0,4.0,4.0
Anglican,Nova Scotia,73,Working for pay full-time,Male,Some technical,Fewer immigrants,Canadian,Got better,2,Liberal,Somewhat agree,Somewhat agree,Somewhat agree,27,1.0,4.0,4.0,4.0
Catholic,Ontario,70,Working for pay full-time,Male,Master degree,Fewer immigrants,Canadian,Stayed about the same,3,Conservative,Strongly agree,Strongly agree,Strongly agree,30,1.0,5.0,5.0,5.0
Christian Reformed,Ontario,45,Retired,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,3,Liberal,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,55,2.0,2.0,3.0,2.0
Pentecostal/ Fundamentalist/ Born Again/ Evangelical,Ontario,34,Retired,Female,Completed technical,More immigrants,Canadian,Got worse,2,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,66,3.0,2.0,4.0,2.0
Atheist,Quebec,41,Retired,Male,Bachelor degree,More immigrants,Canadian,Got better,2,Liberal,Somewhat disagree,Strongly disagree,Strongly disagree,59,3.0,1.0,2.0,1.0
Atheist,Ontario,40,Working for pay part-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Green Party,Somewhat disagree,Strongly disagree,Strongly disagree,60,2.0,1.0,2.0,1.0
Catholic,Nova Scotia,32,Retired,Male,Some technical,More immigrants,Canadian,Stayed about the same,2,Conservative,Strongly agree,Somewhat disagree,Somewhat disagree,68,3.0,2.0,5.0,2.0
Atheist,Ontario,50,Self employed,Male,Completed technical,Fewer immigrants,Canadian,Got worse,3,Conservative,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,50,1.0,4.0,3.0,3.0
Atheist,Ontario,64,Disabled,Male,Some university,Fewer immigrants,Canadian,Stayed about the same,3,Liberal,Strongly agree,Strongly agree,Neither agree nor disagree,36,1.0,3.0,5.0,5.0
Anglican,Manitoba,33,Retired,Female,Some university,Fewer immigrants,Canadian,Got worse,2,NDP,Strongly agree,Somewhat agree,Somewhat disagree,67,1.0,2.0,5.0,4.0
United Church of Canada,Ontario,27,Retired,Female,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,73,2.0,2.0,4.0,2.0
Catholic,Ontario,38,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Immigrant,Got worse,3,Conservative,Strongly agree,Somewhat agree,Strongly agree,62,1.0,5.0,5.0,4.0
Protestant,Alberta,38,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Got worse,2,Conservative,Somewhat agree,Somewhat agree,Neither agree nor disagree,62,2.0,3.0,4.0,4.0
Atheist,Ontario,52,Working for pay full-time,Male,Some secondary/ high school,Fewer immigrants,Canadian,Got worse,2,People Party,Strongly agree,Somewhat agree,Somewhat agree,48,1.0,4.0,5.0,4.0
Atheist,British Columbia,71,Working for pay full-time,Female,Bachelor degree,Fewer immigrants,Canadian,Got worse,2,NDP,Strongly agree,Somewhat agree,Strongly agree,29,1.0,5.0,5.0,4.0
Anglican,Ontario,38,Disabled,Male,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,3,Liberal,Strongly agree,Somewhat agree,Somewhat agree,62,1.0,4.0,5.0,4.0
Atheist,British Columbia,28,Retired,Male,Some university,About the same number of immigrants as now,Canadian,Got worse,2,Liberal,Somewhat agree,Neither agree nor disagree,Strongly disagree,72,2.0,1.0,4.0,3.0
Protestant,Ontario,27,Retired,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Got worse,2,Conservative,Somewhat agree,Somewhat disagree,Neither agree nor disagree,73,2.0,3.0,4.0,2.0
Atheist,British Columbia,70,Disabled,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,3,Green Party,Strongly disagree,Strongly disagree,Strongly disagree,30,2.0,1.0,1.0,1.0
Catholic,Quebec,29,Retired,Male,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Conservative,Strongly agree,Somewhat agree,Somewhat disagree,71,2.0,2.0,5.0,4.0
Anglican,Alberta,32,Retired,Male,Some university,Fewer immigrants,Canadian,Got worse,2,Conservative,Strongly agree,Somewhat disagree,Neither agree nor disagree,68,1.0,3.0,5.0,2.0
Atheist,Ontario,68,Working for pay full-time,Female,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,3,Conservative,Somewhat disagree,Somewhat disagree,Somewhat agree,32,1.0,4.0,2.0,2.0
Atheist,British Columbia,45,Working for pay full-time,Male,Professional degree or doctorate,About the same number of immigrants as now,Immigrant,Stayed about the same,1,Green Party,Neither agree nor disagree,Strongly disagree,Strongly disagree,55,2.0,1.0,3.0,1.0
Atheist,Ontario,70,Working for pay full-time,Female,Master degree,Fewer immigrants,Canadian,Stayed about the same,2,Liberal,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,30,1.0,3.0,3.0,4.0
Atheist,British Columbia,63,Working for pay full-time,Female,Completed technical,About the same number of immigrants as now,Canadian,Got worse,2,Conservative,Somewhat agree,Neither agree nor disagree,Somewhat disagree,37,2.0,2.0,4.0,3.0
Anglican,Alberta,49,Working for pay full-time,Female,Some technical,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Somewhat agree,Strongly agree,51,1.0,5.0,5.0,4.0
Atheist,British Columbia,30,Retired,Female,Bachelor degree,More immigrants,Canadian,Got better,2,Liberal,Neither agree nor disagree,Strongly disagree,Strongly disagree,70,3.0,1.0,3.0,1.0
United Church of Canada,Alberta,31,Retired,Male,Bachelor degree,Fewer immigrants,Canadian,Got worse,2,Conservative,Somewhat agree,Strongly disagree,Neither agree nor disagree,69,1.0,3.0,4.0,1.0
Atheist,British Columbia,77,Working for pay part-time,Female,Some university,More immigrants,Canadian,Stayed about the same,3,NDP,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,23,3.0,2.0,2.0,3.0
Atheist,Alberta,44,Working for pay full-time,Female,Bachelor degree,More immigrants,Immigrant,Got worse,2,Liberal,Somewhat disagree,Strongly disagree,Strongly disagree,56,3.0,1.0,2.0,1.0
United Church of Canada,Newfoundland,30,Retired,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,70,2.0,2.0,4.0,2.0
Anglican,Ontario,42,Disabled,Female,Some technical,Fewer immigrants,Canadian,Got worse,2,Liberal,Somewhat agree,Somewhat agree,Strongly agree,58,1.0,5.0,4.0,4.0
Protestant,Nova Scotia,35,Retired,Female,Bachelor degree,Fewer immigrants,Canadian,Got worse,3,Conservative,Somewhat agree,Strongly agree,Strongly agree,65,1.0,5.0,4.0,5.0
Pentecostal/ Fundamentalist/ Born Again/ Evangelical,New Brunswick,33,Self employed,Female,Bachelor degree,More immigrants,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,67,3.0,1.0,4.0,1.0
Atheist,Nova Scotia,60,Working for pay full-time,Male,Some university,More immigrants,Canadian,Stayed about the same,2,Green Party,Somewhat agree,Strongly disagree,Strongly disagree,40,3.0,1.0,4.0,1.0
Atheist,British Columbia,58,Caring for a family,Female,Completed technical,Fewer immigrants,Canadian,Stayed about the same,2,Liberal,Strongly disagree,Neither agree nor disagree,Strongly agree,42,1.0,5.0,1.0,3.0
Atheist,Ontario,39,Retired,Female,Some secondary/ high school,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Somewhat agree,Strongly disagree,Neither agree nor disagree,61,2.0,3.0,4.0,1.0
Catholic,Manitoba,45,Retired,Female,Some university,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Somewhat agree,Strongly agree,55,1.0,5.0,5.0,4.0
Atheist,British Columbia,33,Working for pay full-time,Male,Completed technical,Fewer immigrants,Canadian,Got worse,1,Conservative,Strongly agree,Somewhat agree,Neither agree nor disagree,67,1.0,3.0,5.0,4.0
Anglican,Ontario,50,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Immigrant,Got worse,2,Conservative,Strongly agree,Somewhat agree,Somewhat disagree,50,1.0,2.0,5.0,4.0
Agnostic,Nova Scotia,79,Working for pay full-time,Female,Some technical,About the same number of immigrants as now,Canadian,Stayed about the same,1,Green Party,Somewhat disagree,Strongly disagree,Strongly disagree,21,2.0,1.0,2.0,1.0
Muslim,Ontario,60,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,40,2.0,1.0,4.0,1.0
Catholic,Ontario,42,Working for pay full-time,Female,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,3,Liberal,Strongly agree,Neither agree nor disagree,Somewhat disagree,58,2.0,2.0,5.0,3.0
Catholic,Ontario,58,Working for pay full-time,Female,Completed technical,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Strongly agree,Somewhat agree,Somewhat disagree,42,1.0,2.0,5.0,4.0
Catholic,Ontario,46,Working for pay full-time,Female,Completed technical,Fewer immigrants,Canadian,Stayed about the same,3,Green Party,Somewhat agree,Somewhat agree,Somewhat agree,54,1.0,4.0,4.0,4.0
Atheist,Alberta,30,Retired,Male,Professional degree or doctorate,About the same number of immigrants as now,Canadian,Stayed about the same,2,Conservative,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,70,2.0,3.0,3.0,3.0
